Year,Week,Day,Date,Holiday,Kickoff,Type,Time,Hour,AwayPrime,After7,MLBReg,MLBPlay,NHLReg,NHLPlay,NBAReg,NBAPlay,NFL,Away,Home,PctMarket,Away2,Home2,Away3,Home3,AwayPop,HomePop,Market,Round,TV,Rating,Viewers,,
2002,,Sun,1/27/02,0,0,National,4:00 PM,4,4.5,0,0,0,1,0,1,0,0,PHI,STL,,,,,,7146706,2810056,9956762,CC,FOX,22.7,37429000,,
2002,,Sun,2/3/02,0,0,National,6:30 PM,6.5,2,0,0,0,0,0,1,0,0,NE,STL,,,,,,8041303,2810056,10851359,SB,FOX,40.4,86801000,,
2009,1,Thu,9/10/09,0,1,Kickoff,,8.5,0,1,1,0,1,0,0,0,0,TEN,PIT,,,,,,1876933,2360867,4237800,RS,NBC,12.8,20909000,,
2009,1,Sun,9/13/09,0,0,Single,,1,7.5,0,1,0,1,0,0,0,1,NYJ,HOU,,,,,,23484225,6508323,29992548,RS,CBS,7.1,11374000,,
2009,1,Sun,9/13/09,0,0,Regional,,1,7.5,0,1,0,1,0,0,0,1,DAL,TB,,,,,,7206144,2783243,9989387,RS,FOX,8.6,14149000,,
2009,1,Sun,9/13/09,0,0,National,,4,4.5,0,1,0,1,0,0,0,1,WAS,NYG,,,,,,9443180,23484225,32927405,RS,FOX,14.8,25109000,,
2009,1,Sun,9/13/09,0,0,SNF,,8.5,0,1,1,0,1,0,0,0,0,CHI,GB,,,,,,9912730,2040498,11953228,RS,NBC,12.6,21102000,,
2009,1,Mon,9/14/09,0,0,MNF,,8.5,0,1,1,0,1,0,0,0,0,BUF,NE,,,,,,1213007,8041303,9254310,RS,ESPN,8.9,14001000,,
2009,1,Mon,9/14/09,0,0,MNF,,8.5,0,1,1,0,1,0,0,0,0,SD,OAK,,,,,,3211252,8469854,11681106,RS,ESPN,7.6,11945000,,
2009,2,Sun,9/20/09,0,0,Single,,1,7.5,0,1,0,1,0,0,0,1,NO,PHI,,,,,,1467880,7146706,8614586,RS,FOX,9.6,15411000,,
2009,2,Sun,9/20/09,0,0,Regional,,1,7.5,0,1,0,1,0,0,0,1,NE,NYJ,,,,,,8041303,23484225,31525528,RS,CBS,8.5,13965000,,
2009,2,Sun,9/20/09,0,0,National,,4,4.5,0,1,0,1,0,0,0,1,PIT,CHI,,,,,,2360867,9912730,12273597,RS,CBS,14.5,23879000,,
