Year,Date,Day,Holiday,Clock,Time,AwayPrime,Window,Past7,NBAPlay,NHLReg,NHLPlay,MLBReg,MLBPlay,NFL,CF,Away,Home,AwayPop,HomePop,Market,Round,Game,WT,LT,Dif,Leverage,TV,Rating,Viewers
2012,2/12/12,Sun,0,0.791666667,7,1.5,3,1,0,1,0,0,0,0,0,Heat,Hawks,6447610,6162195,12609805,RS,,,,,,ESPN,,2215000
2012,2/12/12,Sun,0,0.895833333,9.5,1,3,1,0,1,0,0,0,0,0,Jazz,Grizzlies,2389225,1369006,3758231,RS,,,,,,ESPN,,1327000
2014,2/13/14,Thu,0,0.9375,10.5,2,4,1,0,0,0,0,0,0,0,Thunder,Lakers,1390835,18351929,19742764,RS,,,,,,TNT,,1740000
2014,2/13/14,Thu,0,0.833333333,8,0.5,3,1,0,0,0,0,0,0,0,Nets,Bulls,23484225,9912730,33396955,RS,,,,,,TNT,,1500000
2013,2/14/13,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Heat,Thunder,6447610,1390835,7838445,RS,,,,,,TNT,,3390000
2013,2/14/13,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Clippers,Lakers,18351929,18351929,36703858,RS,,,,,,TNT,,2610000
2012,2/15/12,Wed,0,0.916666667,10,1.5,4,1,0,1,0,0,0,0,0,Blazers,Warriors,3022178,8469854,11492032,RS,,,,,,ESPN,,1137000
2012,2/16/12,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Celtics,Bulls,8041303,9912730,17954033,RS,,,,,,TNT,,2429000
2012,2/16/12,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Clippers,Blazers,18351929,3022178,21374107,RS,,,,,,TNT,,1732000
2012,2/17/12,Fri,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Suns,Lakers,4398762,18351929,22750691,RS,,,,,,ESPN,,2085000
2012,2/17/12,Fri,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Mavs,Sixers,7206144,7146706,14352850,RS,,,,,,ESPN,,1611000
2012,2/19/12,Sun,0,0.541666667,1,7.5,1,0,0,1,0,0,0,0,0,Mavs,Knicks,7206144,23484225,30690369,RS,,,,,,ABC,,5916000
2012,2/19/12,Sun,0,0.645833333,3.5,5,1,0,0,1,0,0,0,0,0,Magic,Heat,2975658,6447610,9423268,RS,,,,,,ABC,,5496000
2012,2/19/12,Sun,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Nuggets,Thunder,3277309,1390835,4668144,RS,,,,,,ESPN,,1892000
2014,2/19/14,Wed,0,0.9375,10.5,2,4,1,0,0,0,0,0,0,0,Rockets,Lakers,6508323,18351929,24860252,RS,,,,,,ESPN,,1270000
2014,2/19/14,Wed,0,0.833333333,8,0.5,3,1,0,0,0,0,0,0,0,Pacers,Wolves,2336237,3797883,6134120,RS,,,,,,ESPN,,1180000
2012,2/20/12,Mon,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Celtics,Mavs,8041303,7206144,15247447,RS,,,,,,TNT,,1525000
2012,2/20/12,Mon,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Blazers,Lakers,3022178,18351929,21374107,RS,,,,,,TNT,,1457000
2012,2/20/12,Mon,0,0.666666667,4,4.5,2,0,0,1,0,0,0,0,0,Bulls,Hawks,9912730,6162195,16074925,RS,,,,,,ESPN,,1113000
2013,2/20/13,Wed,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Celtics,Lakers,8041303,18351929,26393232,RS,,,,,,ESPN,,2253000
2013,2/20/13,Wed,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Hornets,Cavs,1467880,3501538,4969418,RS,,,,,,ESPN,,1183000
2014,2/20/14,Thu,0,0.833333333,8,0.5,3,1,0,0,0,0,0,0,0,Heat,Thunder,6447610,1390835,7838445,RS,,,,,,TNT,,3840000
2014,2/20/14,Thu,0,0.9375,10.5,2,4,1,0,0,0,0,0,0,0,Rockets,Warriors,6508323,8469854,14978177,RS,,,,,,TNT,,2040000
2013,2/21/13,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Heat,Bulls,6447610,9912730,16360340,RS,,,,,,TNT,,2448000
2013,2/21/13,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Spurs,Clippers,2277550,18351929,20629479,RS,,,,,,TNT,,1972000
2014,2/21/14,Fri,0,0.9375,10.5,2,4,1,0,0,0,0,0,0,0,Celtics,Lakers,8041303,18351929,26393232,RS,,,,,,ESPN,,1420000
2014,2/21/14,Fri,0,0.833333333,8,0.5,3,1,0,0,0,0,0,0,0,Nuggets,Bulls,3277309,9912730,13190039,RS,,,,,,ESPN,,1040000
2012,2/22/12,Wed,0,0.895833333,9.5,1,3,1,0,1,0,0,0,0,0,Lakers,Mavs,18351929,7206144,25558073,RS,,,,,,ESPN,,2569000
2012,2/22/12,Wed,0,0.791666667,7,1.5,3,1,0,1,0,0,0,0,0,Celtics,Thunder,8041303,1390835,9432138,RS,,,,,,ESPN,,1547000
2013,2/22/13,Fri,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Spurs,Warriors,2277550,8469854,10747404,RS,,,,,,ESPN,,1590000
2013,2/22/13,Fri,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Wolves,Thunder,3797883,1390835,5188718,RS,,,,,,ESPN,,1324000
2012,2/23/12,Thu,0,0.791666667,7,1.5,3,1,0,1,0,0,0,0,0,Knicks,Heat,23484225,6447610,29931835,RS,,,,,,TNT,,5092000
2012,2/23/12,Thu,0,0.895833333,9.5,1,3,1,0,1,0,0,0,0,0,Lakers,Thunder,18351929,1390835,19742764,RS,,,,,,TNT,,3665000
2014,2/23/14,Sun,0,0.645833333,3.5,5,1,0,0,0,0,0,0,0,0,Bulls,Heat,9912730,6447610,16360340,RS,,,,,,ABC,,3660000
2014,2/23/14,Sun,0,0.541666667,1,7.5,1,0,0,0,0,0,0,0,0,Clippers,Thunder,18351929,1390835,19742764,RS,,,,,,ABC,,2500000
2014,2/23/14,Sun,0,0.875,9,0.5,3,1,0,0,0,0,0,0,0,Rockets,Suns,6508323,4398762,10907085,RS,,,,,,ESPN,,1130000
2013,2/24/13,Sun,0,0.541666667,1,7.5,1,0,0,1,0,0,0,0,0,Lakers,Mavs,18351929,7206144,25558073,RS,,,,,,ABC,,2931000
2013,2/24/13,Sun,0,0.895833333,9.5,1,3,1,0,1,0,0,0,0,0,Bulls,Thunder,9912730,1390835,11303565,RS,,,,,,ESPN,,1556000
2013,2/24/13,Sun,0,0.791666667,7,1.5,3,1,0,1,0,0,0,0,0,Grizzlies,Nets,1369006,23484225,24853231,RS,,,,,,ESPN,,1382000
2014,2/26/14,Wed,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Rockets,Clippers,6508323,18351929,24860252,RS,,,,,,ESPN,,1650000
2014,2/26/14,Wed,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Pelicans,Mavs,1467880,7206144,8674024,RS,,,,,,ESPN,,1020000
2013,2/27/13,Wed,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Warriors,Knicks,8469854,23484225,31954079,RS,,,,,,ESPN,,1558000
2013,2/27/13,Wed,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Nuggets,Blazers,3277309,3022178,6299487,RS,,,,,,ESPN,,1372000
2014,2/27/14,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Knicks,Heat,23484225,6447610,29931835,RS,,,,,,TNT,,2720000
2014,2/27/14,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Nets,Nuggets,23484225,3277309,26761534,RS,,,,,,TNT,,1250000
2013,2/28/13,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Wolves,Lakers,3797883,18351929,22149812,RS,,,,,,TNT,,1680000
2013,2/28/13,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Sixers,Bulls,7146706,9912730,17059436,RS,,,,,,TNT,,1280000
2014,2/28/14,Fri,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Warriors,Knicks,8469854,23484225,31954079,RS,,,,,,ESPN,,1370000
2014,2/28/14,Fri,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Pelicans,Suns,1467880,4398762,5866642,RS,,,,,,ESPN,,1080000
